,Time,Ticker,Asset Turnover,Average Assets,Book Value per Share,Current Ratio,Debt to Equity Ratio,Dividend Yield,EBITDA,EBITDA [USD],EBITDA Margin,Earnings before Tax,Average Equity,Enterprise Value,Enterprise Value over EBIT,Enterprise Value over EBITDA,Free Cash Flow,Free Cash Flow per Share,Foreign Currency to USD Exchange Rate,Gross Margin,Invested Capital,Invested Capital Average,Market Capitalization,Profit Margin,Price to Earnings (Damodaran Method),Price to Earnings Ratio,Price to Sales Ratio,Price to Sales (Damodaran Method),Price to Book Value,Return on Invested Capital,Sales per Share,Payout Ratio,Return on Average Assets,Return on Average Equity,Return on Sales,Tangible Asset Value,Tangible Asset Book Value per Share,Working Capital
168,2018-03-31,T,0.363,438775000000.0,23.684,1.112,2.051,0.055,46545000000.0,46545000000.0,0.292,15513000000.0,134116500000.0,332793640969.0,15.0,7.15,17172000000.0,2.787,1.0,0.512,270820000000.0,271633250000.0,218945640969.0,0.192,7.145,7.202000000000001,1.379,1.375,1.5,0.08199999999999999,25.843000000000004,0.39799999999999996,0.07,0.228,0.14,227226000000.0,36.881,7925000000.0
38,2018-03-31,BRK,0.33,687972500000.0,140.754,,1.012,0.0,29852000000.0,29852000000.0,0.131,16226000000.0,326158500000.0,563349826611.0,27.0,18.871,23047000000.0,9.338,1.0,0.18100000000000002,630258000000.0,636027500000.0,492345826611.0,0.175,12.389000000000001,12.375,2.165,2.165,1.4169999999999998,0.032,92.12299999999999,0.0,0.057999999999999996,0.122,0.09,589054000000.0,238.66299999999998,
198,2018-03-31,XOM,0.731,347489000000.0,44.412,0.8009999999999999,0.818,0.040999999999999995,40308000000.0,40308000000.0,0.159,19805000000.0,184334250000.0,355316051683.0,17.0,8.815,14551000000.0,3.4339999999999997,1.0,0.349,325012000000.0,329260250000.0,316157051683.0,0.08,15.536,15.642000000000001,1.245,1.245,1.68,0.062,59.919,0.6459999999999999,0.059000000000000004,0.11,0.081,348826000000.0,82.32,-11991000000.0
138,2018-03-31,MSFT,0.423,250227250000.0,10.293,3.3960000000000004,2.0980000000000003,0.018000000000000002,43840000000.0,43840000000.0,0.414,33752000000.0,83739250000.0,654880093602.0,19.0,14.937999999999999,33536000000.0,4.356,1.0,0.65,105876000000.0,106175500000.0,702760093602.0,0.149,44.571999999999996,44.961000000000006,6.636,6.6370000000000005,8.869,0.318,13.754000000000001,0.7979999999999999,0.063,0.188,0.319,201371000000.0,26.159000000000002,110526000000.0
178,2018-03-31,V,0.289,67043250000.0,16.595,1.9409999999999998,1.025,0.006,13641000000.0,13641000000.0,0.705,12469000000.0,33052000000.0,254081582355.0,19.0,18.625999999999998,11410000000.0,5.5520000000000005,1.0,0.852,23180000000.0,22092250000.0,246481582355.0,0.48200000000000004,26.43,30.206999999999997,12.700999999999999,12.735,7.228,0.591,9.418,0.18600000000000003,0.139,0.282,0.675,25133000000.0,12.23,8985000000.0
108,2018-03-31,JPM,0.04,2567408250000.0,74.083,,9.186,0.019,42864000000.0,42864000000.0,0.413,36352000000.0,257189750000.0,442089475255.0,12.0,10.314,-23377000000.0,-6.76,1.0,1.0,2656647000000.0,2586516750000.0,377412475255.0,0.24,15.196,15.554,3.668,3.64,1.473,0.013999999999999999,29.978,0.3,0.01,0.09699999999999999,0.35100000000000003,2555252000000.0,738.875,
18,2018-03-31,AMZN,1.6769999999999998,115180000000.0,65.006,1.058,3.016,0.0,18518000000.0,18518000000.0,0.096,4765000000.0,26761000000.0,704888690243.0,121.0,38.065,7271000000.0,15.023,1.0,0.37799999999999995,72893000000.0,60386250000.0,700667690243.0,0.02,177.88,177.37,3.6260000000000003,3.627,22.27,0.096,399.161,0.0,0.034,0.147,0.03,112974000000.0,233.417,2784000000.0
28,2018-03-31,BA,0.938,101738500000.0,2.046,1.146,91.85799999999999,0.018000000000000002,13256000000.0,13256000000.0,0.139,10801000000.0,481750000.0,196801941230.0,18.0,14.845999999999998,12827000000.0,21.479,1.0,0.18899999999999997,33151000000.0,31804500000.0,194497941230.0,0.098,20.789,20.924,2.052,2.0380000000000003,159.164,0.35100000000000003,159.789,0.381,0.092,19.421,0.11699999999999999,105466000000.0,176.601,11011000000.0
98,2018-04-01,JNJ,0.506,155598250000.0,23.583000000000002,1.579,1.476,0.026000000000000002,25044000000.0,25044000000.0,0.318,17579000000.0,67329000000.0,360570834017.0,19.0,14.397,18372000000.0,6.85,1.0,0.6609999999999999,63924000000.0,59866500000.0,343813834017.0,0.016,276.156,272.66,4.368,4.369,5.435,0.31,29.339000000000002,7.149,0.008,0.018000000000000002,0.23600000000000002,73111000000.0,27.258000000000003,15687000000.0
148,2018-04-01,PFE,0.311,169279500000.0,11.782,1.273,1.34,0.037000000000000005,18715000000.0,18715000000.0,0.355,12434000000.0,65157500000.0,253416170013.0,20.0,13.540999999999999,14924000000.0,2.505,1.0,0.785,71703000000.0,76492500000.0,211267170013.0,0.413,9.714,9.697000000000001,4.013999999999999,4.011,3.01,0.163,8.842,0.355,0.128,0.33399999999999996,0.23600000000000002,60529000000.0,10.161,7470000000.0
67,2018-04-29,HD,2.239,45540250000.0,1.464,1.17,26.653000000000002,0.02,16802000000.0,16802000000.0,0.165,13732000000.0,2309500000.0,239217475072.0,16.0,14.237,9495000000.0,8.242,1.0,0.341,48430000000.0,48701250000.0,215784475072.0,0.08800000000000001,23.923000000000002,24.09,2.1069999999999998,2.116,127.91,0.302,88.51,0.478,0.198,3.906,0.14400000000000002,44369000000.0,38.515,3081000000.0
187,2018-04-30,WMT,2.465,205107250000.0,25.611,0.7340000000000001,1.676,0.023,25499000000.0,25499000000.0,0.05,12581000000.0,76488750000.0,300749640520.0,20.0,11.795,18614000000.0,6.31,1.0,0.253,143778000000.0,149209000000.0,261018640520.0,0.018000000000000002,29.141,29.487,0.516,0.516,3.455,0.099,171.35299999999998,0.6829999999999999,0.044000000000000004,0.11699999999999999,0.028999999999999998,186077000000.0,63.077,-21515000000.0
47,2018-04-30,CRM,0.5579999999999999,19963959750.0,15.171,1.286,1.0759999999999998,0.0,1589000000.0,1589000000.0,0.14300000000000002,815000000.0,9679171000.0,87684066000.0,111.0,55.181999999999995,2475000000.0,3.395,1.0,0.741,3913000000.0,2455768000.0,88504185000.0,0.063,125.895,126.031,7.9110000000000005,7.938,8.002,0.32299999999999995,15.294,0.0,0.035,0.073,0.071,14555000000.0,19.965999999999998,2256000000.0
117,2018-06-29,KO,0.381,90321500000.0,4.306,1.147,3.7889999999999997,0.035,9619000000.0,9619000000.0,0.27899999999999997,7528000000.0,19281000000.0,219773817811.0,26.0,22.848000000000003,4907000000.0,1.153,1.0,0.627,74316000000.0,75457000000.0,186635817811.0,0.069,78.45100000000001,79.745,5.419,5.419,10.186,0.11199999999999999,8.094,2.764,0.026000000000000002,0.12300000000000001,0.245,72731000000.0,17.093,4626000000.0
